1032	2001
1033	2193
1034	801
1035	2772
1036	2814
1037	2528
1038	2007
1039	2192
1040	798
1041	2770
1042	2808
1043	2519
1044	2003
1045	2190
1046	796
1047	2764
1048	2807
1049	2518
1050	1542
1051	1735
1052	524
1053	2402
1054	2042
1055	1552
1056	1726
1057	506
1058	2334
1059	2358
1060	1985
1061	1499
1062	1674
1063	457
1064	2283
1065	2332
1066	1973
1067	1494
1068	1678
1069	470
1070	2317
1071	2360
1072	1999
1073	1517
1074	1700
1075	483
1076	2293
1077	2336
1078	1985
1079	1510
1080	1692
1081	471
1082	2266
1083	2310
1084	1983
1085	1507
1086	465
1087	463
1088	2242
1089	2281
1090	1950
1091	1483
1092	1664
1093	447
1094	443
1095	2226
1096	2268
1097	1944
1098	1489
1099	1668
1100	443
1101	2221
1102	2265
1103	1934
1104	1472
1105	1665
1106	443
1107	2227
1108	2272
1109	1943
1110	1480
1111	1663
1112	441
1113	2223
1114	2264
1115	1945
1116	1479
1117	1662
1118	440
1119	2225
1120	2269
1121	1941
1122	1475
1123	1656
1124	438
1125	2224
1126	2265
1127	1937
1128	1470
1129	1648
1130	438
1131	2218
1132	2266
1133	1942
1134	1478
1135	1672
1136	450
1137	2227
1138	2270
1139	1957
1140	1489
1141	1673
1142	447
1143	2223
1144	2268
1145	1955
1146	1491
1147	1655
1148	427
1149	427
1150	2193
1151	2239
1152	1934
1153	1485
1154	1669
1155	436
1156	2211
1157	2259
1158	1968
1159	1532
1160	1715
1161	477
1162	477
1163	2257
1164	2295
1165	1994
1166	1537
1167	1735
1168	497
1169	2269
1170	2314
1171	2016
1172	1561
1173	528
1174	532
1175	2331
1176	2376
1177	2063
1178	1607
1179	1791
1180	542
1181	2348
1182	2389
1183	2092
1184	1621
1185	1795
1186	2091
1187	1616
1188	1831
1189	578
1190	578
1191	2408
1192	2453
1193	2136
1194	1662
1195	1833
1196	568
1197	581
1198	2427
1199	2473
1200	2144
1201	1663
1202	1851
1203	601
1204	600
1205	2427
1206	2455
1207	2127
1208	1678
1209	1856
1210	592
1211	2449
1212	2491
1213	2161
1214	1681
1215	1835
1216	569
1217	582
1218	2450
1219	2494
1220	2161
1221	1675
1222	1861
1223	594
1224	597
1225	2482
1226	2522
1227	2188
1228	1756
1229	1934
1230	653
1231	2553
1232	2588
1233	2224
1234	1740
1235	1917
1236	637
1237	635
1238	2541
1239	2584
1240	2355
1241	1822
1242	1997
1243	669
1244	669
1245	2701
1246	2743
1247	2349
1248	1816
1249	1994
1250	666
1251	2700
1252	2742
1253	2347
1254	1810
1255	1985
1256	659
1257	2698
1258	2740
1259	2341
1260	1811
1261	1990
1262	662
1263	2702
1264	2744
1265	2329
1266	1776
1267	1953
1268	638
1269	638
1270	2695
1271	2744
1272	2339
1273	1775
1274	1946
1275	623
1276	614
1277	2691
1278	2771
1279	2392
1280	2739
1281	2885
1282	1142
1283	3467
1284	3486
1285	3114
1286	2764
1287	2914
1288	1168
1289	1162
1290	3487
1291	3506
1292	3133
1293	2782
1294	2788
1295	2934
1296	1198
1297	1212
1298	3517
1299	3554
1300	3226
1301	2832
1302	2977
1303	1181
1304	3530
1305	3571
1306	3339
1307	2962
