1250	1	529
1250	2	520
1250	3	515
1250	4	630
1250	5	739
1250	6	559
1250	7	604
1250	8	828
1250	9	832
1250	10	588
1251	1	520
1251	2	500
1251	3	492
1251	4	552
1251	5	676
1251	6	539
1251	7	583
1251	8	784
1251	9	721
1251	10	598
1252	1	540
1252	2	510
1252	3	518
1252	4	580
1252	5	696
1252	6	552
1252	7	598
1252	8	801
1252	9	831
1252	10	645
1253	1	428
1253	2	413
1253	3	436
1253	4	456
1253	5	581
1253	6	427
1253	7	480
1253	8	711
1253	9	587
1253	10	490
1254	4	561
1255	1	520
1255	2	463
1255	3	437
1255	4	534
1255	5	643
1255	6	427
1255	7	486
1255	8	800
1255	9	889
1255	10	590
1256	1	570
1256	2	544
1256	3	544
1256	4	662
1256	5	742
1256	6	553
1256	7	623
1256	8	939
1256	9	1059
1256	10	676
1257	1	565
1257	2	539
1257	3	531
1257	4	662
1257	5	780
1257	6	613
1257	7	678
1257	8	960
1257	9	1087
1257	10	666
1258	1	272
1258	2	238
1258	3	241
1258	4	255
1258	5	320
1258	6	221
1258	7	261
1258	8	417
1258	9	435
1258	10	264
1259	1	198
1259	2	165
1259	3	160
1259	4	180
1259	5	230
1259	6	127
1259	7	168
1259	8	327
1259	9	410
1259	10	247
1260	1	93
1260	2	81
1260	3	102
1260	4	104
1260	5	181
1260	6	61
1260	7	102
1260	8	234
1260	9	42
1260	10	76
1261	1	111
1261	2	45
1261	3	74
1261	4	148
1261	5	198
1261	6	0
1261	7	19
1261	8	218
1261	9	347
1261	10	118
1262	1	133
1262	2	100
1262	3	105
1262	4	202
1262	5	237
1262	6	50
1262	7	98
1262	8	293
1262	9	440
1262	10	124
1263	1	64
1263	2	52
1263	3	46
1263	4	135
1263	5	179
1263	6	10
1263	7	42
1263	8	202
1263	9	338
1263	10	72
1264	1	43
1264	2	34
1264	3	36
1264	4	56
1264	5	123
1264	6	5
1264	7	21
1264	8	146
1264	9	185
1264	10	45
1265	1	60
1265	2	49
1265	3	56
1265	4	89
1265	5	157
1265	6	35
1265	7	63
1265	8	213
1265	9	341
1265	10	87
1266	1	91
1266	2	94
1266	3	123
1266	4	129
1266	5	222
1266	6	78
1266	7	107
1266	8	276
1266	9	134
1266	10	71
1267	6	6
1267	9	19
1268	1	94
1268	2	32
1268	3	83
1268	4	160
1268	5	237
1268	6	5
1268	7	24
1268	8	286
1268	9	444
1268	10	105
1269	1	104
1269	2	54
1269	3	70
1269	4	151
1269	5	219
1269	6	19
1269	7	51
1269	8	281
1269	9	439
1269	10	73
1270	1	69
1270	2	22
1270	3	24
1270	4	98
1270	5	183
1270	6	0
1270	7	13
1270	8	195
1270	9	332
1270	10	48
1271	1	74
1271	2	26
1271	3	31
1271	4	54
1271	5	176
1271	6	25
1271	7	36
1271	8	181
1271	9	212
1271	10	58
1272	1	114
1272	2	63
1272	3	79
1272	4	126
1272	5	240
1272	6	71
1272	7	82
1272	8	237
1272	9	324
1272	10	142
1273	1	795
1273	2	760
1273	3	796
1273	4	839
1273	5	981
1273	6	800
1273	7	819
1273	8	1024
1273	9	869
1273	10	833
1274	1	661
1274	2	563
1274	3	564
1274	4	705
1274	5	829
1274	6	584
1274	7	614
1274	8	890
1274	9	933
1274	10	701
1275	1	635
1275	2	593
1275	3	572
1275	4	721
1275	5	812
1275	6	598
1275	7	647
1275	8	922
1275	9	974
1275	10	678
1276	1	514
1276	2	490
1276	3	457
1276	4	591
1276	5	690
1276	6	492
1276	7	528
1276	8	748
1276	9	797
1276	10	537
1277	1	527
1277	2	493
1277	3	472
1277	4	541
1277	5	657
1277	6	508
1277	7	546
1277	8	739
1277	9	751
1277	10	602
1278	1	546
1278	2	532
1278	3	533
1278	4	616
1278	5	725
1278	6	586
1278	7	625
1278	8	831
1278	9	939
1278	10	717
1279	2	516
1279	3	536
1279	4	587
1279	5	716
1279	6	568
1279	7	606
1279	8	833
1279	9	714
1280	1	475
1281	1	542
1281	2	483
1281	3	469
1281	4	584
1281	5	686
1281	6	478
1281	7	523
1281	8	798
1281	9	871
1281	10	596
1282	1	509
1282	2	482
1282	3	470
1282	4	618
1282	5	696
1282	6	501
1282	7	561
1282	8	837
1282	9	949
1282	10	590
1283	1	464
1283	2	439
1283	3	415
1283	4	550
1283	5	623
1283	6	446
1283	7	497
1283	8	738
1283	9	892
1283	10	547
1284	1	479
1284	2	442
1284	3	434
1284	4	504
1284	5	597
1284	6	466
1284	7	514
1284	8	726
1284	9	837
1284	10	584
1285	1	540
1285	2	506
1285	3	508
1285	4	598
1285	5	712
1285	6	588
1285	7	642
1285	8	882
1285	9	1080
1285	10	749
1286	1	532
1286	2	517
1286	4	602
1286	5	742
1286	6	609
1286	7	660
1286	8	901
1286	9	838
1286	10	696
1287	9	95
1288	1	256
1288	2	189
1288	3	221
1288	4	292
1288	5	342
1288	6	137
1288	7	171
1288	8	397
1288	9	472
1288	10	251
1289	1	155
1289	2	126
1289	3	158
1289	4	256
1289	5	300
1289	6	118
1289	7	172
1289	8	360
1289	9	427
1289	10	156
